"name","description","image"
"Ragnar Lodbrok","Ragnar Lothbrok or Lodbrok is a legendary Viking hero, as well as a legendary Danish and Swedish king. He is known from Old Norse poetry of the Viking Age, Icelandic sagas, and near-contemporary chronicles. According to the traditional literature, Ragnar Lothbrok distinguished himself by conducting many raids against the British Isles and the Holy Roman Empire during the 9th century.","https://static.wikia.nocookie.net/epicrapbattlesofhistory/images/e/ee/Ragnar_Lodbrok_Title_Card.png/revision/latest/scale-to-width-down/1920?cb=20210614191345"
"Richard The Lionheart","Richard I (8 September 1157 – 6 April 1199) was King of England from 1189 until his death in 1199. He also ruled as Duke of Normandy, Aquitaine and Gascony, Lord of Cyprus, and Count of Poitiers, Anjou, Maine, and Nantes, and was overlord of Brittany at various times during the same period. He was the third of five sons of King Henry II of England and Eleanor of Aquitaine and seemed unlikely to become king, but all his brothers except the youngest, John, predeceased their father.","https://static.wikia.nocookie.net/epicrapbattlesofhistory/images/a/a3/Richard_the_Lionheart_Title_Card.png/revision/latest/scale-to-width-down/1920?cb=20210614191746"
"Harry Potter","Harry James Potter is a fictional character and the titular protagonist in J. K. Rowling's series of eponymous novels. The majority of the books' plot covers seven years in the life of the orphan Harry, who, on his eleventh birthday, learns he is a wizard. Thus, he attends Hogwarts School of Witchcraft and Wizardry to practise magic under the guidance of the kindly headmaster Albus Dumbledore and other school professors along with his best friends Ron Weasley and Hermione Granger.","https://static.wikia.nocookie.net/epicrapbattlesofhistory/images/d/d7/Harry_Potter_Title_Card.png/revision/latest/scale-to-width-down/1920?cb=20201205215024"
"Luke Skywalker","Luke Skywalker is a fictional character and the protagonist of the original film trilogy of the Star Wars franchise created by George Lucas. Portrayed by Mark Hamill, Luke first appeared in Star Wars (1977),[a] and he returned in The Empire Strikes Back (1980) and Return of the Jedi (1983). Three decades later, Hamill returned as Luke in the Star Wars sequel trilogy, appearing in all three films: The Force Awakens (2015), The Last Jedi (2017), and The Rise of Skywalker (2019).","https://static.wikia.nocookie.net/epicrapbattlesofhistory/images/c/c3/Luke_Skywalker_Title_Card.png/revision/latest/scale-to-width-down/1920?cb=20201207045842"
"Donald Trump","Donald John Trump (born June 14, 1946) is an American politician, media personality, and businessman who served as the 45th president of the United States from 2017 to 2021. Born and raised in Queens, New York City, Trump graduated from the University of Pennsylvania with a bachelor's degree in 1968. He became the president of his father Fred Trump's real estate business in 1971 and renamed it The Trump Organization. Trump expanded the company's operations to building and renovating skyscrapers, hotels, casinos, and golf courses.","https://static.wikia.nocookie.net/epicrapbattlesofhistory/images/9/9d/Donald_Trump_Title_Card_2.png/revision/latest/scale-to-width-down/1920?cb=20161028135025"
"Joe Biden","Joseph Robinette Biden Jr. (November 20, 1942) is an American politician who is the 46th and current president of the United States. A member of the Democratic Party, he served as the 47th vice president from 2009 to 2017 under Barack Obama and represented Delaware in the United States Senate from 1973 to 2009.","https://static.wikia.nocookie.net/epicrapbattlesofhistory/images/4/4c/Joe_Biden_Title_Card.png/revision/latest/scale-to-width-down/1920?cb=20201029064010"
"Thanos","Thanos is a fictional character appearing in American comic books published by Marvel Comics. He was created by writer-artist Jim Starlin, and made his first appearance in The Invincible Iron Man #55 (cover dated February 1973). An Eternal–Deviant warlord from the moon Titan, Thanos is regarded as one of the most powerful beings in the Marvel Universe. He has clashed with many heroes including the Avengers, the Guardians of the Galaxy, the Fantastic Four, and the X-Men.","https://static.wikia.nocookie.net/epicrapbattlesofhistory/images/a/ad/Thanos_Title_Card.png/revision/latest/scale-to-width-down/1920?cb=20191220035512"
"J Robert Oppenheimer","J. Robert Oppenheimer (April 22, 1904 – February 18, 1967) was an American theoretical physicist who was professor of physics at the University of California, Berkeley. Oppenheimer was the wartime head of the Los Alamos Laboratory and is among those who are credited with being the ""father of the atomic bomb"" for their role in the Manhattan Project – the World War II undertaking that developed the first nuclear weapons.","https://static.wikia.nocookie.net/epicrapbattlesofhistory/images/b/b4/J._Robert_Oppenheimer_Title_Card.png/revision/latest/scale-to-width-down/1920?cb=20191219164950"
"The Joker","The Joker is a supervillain who appears in American comic books published by DC Comics. The Joker was created by Bill Finger, Bob Kane, and Jerry Robinson and first appeared in the debut issue of the comic book Batman on April 25, 1940. Credit for the Joker's creation is disputed; Kane and Robinson claimed responsibility for the Joker's design while acknowledging Finger's writing contribution. Although the Joker was planned to be killed off during his initial appearance, he was spared by editorial intervention, allowing the character to endure as the archenemy of the superhero Batman.","https://static.wikia.nocookie.net/epicrapbattlesofhistory/images/9/9a/The_Joker_Title_Card.png/revision/latest/scale-to-width-down/1920?cb=20191127130624"
"Pennywise","It is the title character and the main antagonist in Stephen King's 1986 horror novel It. The character is an ancient cosmic evil which preys upon the children of Derry, Maine, roughly every 27 years, using a variety of powers that include the ability to shapeshift, manipulate reality, and go unnoticed by adults.","https://static.wikia.nocookie.net/epicrapbattlesofhistory/images/a/a7/Pennywise_Title_Card.png/revision/latest/scale-to-width-down/1920?cb=20191124062219"
